ID;Сорт;Селекционная линия;Год;Патент;Ссылка на патент;Селекционер;Родители;Высота (см);Ширина листа (см);Форма листа;Окрас;Устойчивость к солнцу;Историческая справка;Особенности;Ссылка на изображение;CaladiumHome;Visibility
1;Aaron;Флорида, США;;;;;Caladium bicolor (дикий вид или старый гибрид);40–60;15–20;Сердцевидная;Основной цвет – белый или кремовый. Край листа – ярко-зелёный. Прожилки могут быть светло-зелёными.;Тенелюбивый / Полутень (может выдерживать утреннее солнце, но требует защиты от прямого полуденного света);Сорт использовался в селекции для получения других бело-зелёных каладиумов, например: 'White Christmas' (более устойчивый к солнцу). 'Candidum' (старый сорт с похожей окраской). Выведен примерно в 1950-е годы (точный год не зафиксирован). Не запатентован, так как относится к старым сортам. Вероятно, выведен в питомниках Lake Placid (Флорида) – основном регионе коммерческой селекции каладиумов в XX веке.;Ширина куста: до 50 см. В глубокой тени листья становятся более зелёными, на солнце – белее, но возможны ожоги. Название, вероятно, дано в честь библейского Аарона (символа чистоты и света). Не использовался активно в селекции, так как считается базовым сортом, но мог быть родителем для гибридов с бело-зелёной окраской;./img/Aaron.jpg;0;1
2;Allure;Флорида, США;2009;PP27947;https://patents.google.com/patent/USPP27947P2;;Candidum Senior (не запатентован) х Candidum (не запатентованн);40–60;15–25;Сердцевидная;Основной цвет: Бело-кремовый с розовыми и красными пятнами. Край листа: Ярко-зелёный. Прожилки: Тёмно-зелёные или розоватые. Пятна: Красные и розовые, разбросаны по всей поверхности.;Тенелюбивый / Полутень (может переносить утреннее солнце, но листья выгорают при прямом освещении);Allure был выведен в рамках программы селекции Florida Caladium Growers Association (FCGA) и запатентован Classic Caladiums LLC. Название отражает его привлекательный, завораживающий внешний вид. Участвовал в создании других гибридов, но конкретные потомки не указаны.;Один из самых ярких бело-розовых сортов с контрастной зелёной каймой;./img/Allure.jpg;0;1
3;Alpine Snow;;;;;;;50-55;18-20;Сердцевидная;Белый с зелёными прожилками;Тень;Выведен в Бельгии, популярен в викторианских оранжереях;Морозостойкий до -5°C;./img/Alpine Snow.jpg;0;0
4;Apple Blossom;Classic Caladiums;;;;;;;;;;;;;./img/Apple Blossom.jpg;0;1
5;Arctic Snow;;;;;;;45-50;17-19;Сердцевидная;Белый;Полутень;Морозостойкий до -2°C;Для Канады;./img/Arctic Snow.jpg;0;0
6;ARN BRZ OF14-40;-;2021;PP33644;https://patents.justia.com/patent/PP33644;Robert Dale Hartman;Не указаны;70-90;18-28;Фэнси;Бледно-зелёный с бронзовым оттенком, белые зоны;Высокая;Отобран в 2014 году, устойчив к яркому свету;Листья с металлическим отблеском;./img/ARN BRZ OF14-40.jpg;0;0
7;Autumn Beauty;;;;;;;45-50;16-18;Сердцевидная;Медный;Полутень;Осенняя коллекция;Меняет цвет;./img/Autumn Beauty.jpg;1;1
8;Bali Beauty;Classic Caladiums;;;;;;50-55;12-14;Ланцетная;Жёлто-зелёный;Полутень;Гибридизирован на Бали;Новинка 2024;./img/Bali Beauty.jpg;0;0
9;Ballet Slippers;;;;;;;;;;;;;;./img/Ballet Slippers.jpg;0;1
10;Bamboo Shadow;;;;;;;60-70;8-10;Узколанцетная;Зелёный с белыми полосами;Тень;Выращивается в садах Тайваня как природный фильтр воздуха;Форма листа имитирует бамбук;./img/Bamboo Shadow.jpg;0;0
